group,phy_comp_type_code_id,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2024_01_01,2024_02_01,2024_03_01,2024_04_01,2024_05_01,2024_06_01,2024_07_01,2024_08_01,2024_09_01,2024_10_01,2024_11_01,2024_12_01,2025_01_01,2025_02_01,2025_03_01,2025_04_01,2025_05_01,2025_06_01
0c72d29b8ebc3e12c7bf92,110,105,108,109,97,94,94,94,94,96,90,83,81,77,78,77,78,78,81,80,81,82,81,81,78,75,77,76,75,75,68,66,71,78,80,78,77,76,78,79,79,78,79,79,78,78,78,76,77,76,75,75,74,75,75,74,74,71,68,68,68,68,67,67,67,67,67
0c72d29b8ebc3e12c7bf92,111,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c72d29b8ebc3e12c7bf92,210,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ddfa9a32bf5f17,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1a1a357e28,101,6,6,6,6,6,6,15,15,15,15,15,5,5,5,5,5,5,4,4,4,4,4,3,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,17,17,16,16,16,16,16,16,16,15,15,15,16,16,2,2,2,2,2
1a1a357e28,102,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,,,,,
1a1a357e28,104,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,17,17,16,1,1,1,1,2,2,2,2,3,3,3,3,,1,1,1,1,1,1,1,1,1,1,2,19,20,20,20,20,21,21,21,21,22,22,21,21,21,10,10,10,11,11
1a1a357e28,105,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,1,1,,1,2,3,3,3,3,3,3,3,3,3,6,6,6,6,7,7,7,8,8,8,8,7,6,6,,,,,
1a1a357e28,110,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
1a1a357e28,201,5,5,5,5,5,5,6,6,6,6,6,16,15,15,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,,,,,,,,,,,,,,,,,,
1a1a357e28,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,
1a1a357e28,203,,,,,,,,,,,,,,,,,,,,,,,2,2,4,3,3,2,2,2,1,2,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1a1a357e28,204,2,2,2,2,2,2,2,2,2,2,2,,,,,,,1,1,1,,,1,16,16,16,16,16,17,17,16,16,16,15,15,19,19,19,19,19,19,19,19,19,19,19,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
1a1a357e28,205,,,,,,,,,,,,,,,,,,,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
1a1a357e28,210,,,,,,,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b7d998b4092b2,102,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,8,8,8,8,4,5,5,5,5,5,5,5,5,6,6,6,2,2,2,2,2,2,2
1b7d998b4092b2,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,8,9,8,8
