group,category,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2024_01_01,2024_02_01,2024_03_01,2024_04_01,2024_05_01,2024_06_01,2024_07_01,2024_08_01,2024_09_01,2024_10_01,2024_11_01,2024_12_01,2025_01_01,2025_02_01,2025_03_01,2025_04_01,2025_05_01,2025_06_01,job_code
0a43d3000d9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
0a43d3000d9,0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0,28.0,28.0,28.0,30.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,28.0,28.0,27.0,23.0,23.0,23.0,23.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,21.0,25.0,25.0,25.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,102
0a43d3000d9,1,2.0,2.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,5.0,5.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,9.0,9.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,9.0,9.0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,102
0a43d3000d9,0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,103
0a43d3000d9,0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,12.0,12.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,26.0,26.0,25.0,25.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,22.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,103
0a43d3000d9,1,20.0,20.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,21.0,21.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,17.0,18.0,18.0,18.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,103
0a43d3000d9,0,4.0,5.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,11.0,14.0,15.0,18.0,21.0,23.0,24.0,25.0,19.0,20.0,24.0,25.0,19.0,22.0,22.0,22.0,22.0,22.0,23.0,24.0,26.0,26.0,27.0,29.0,24.0,27.0,30.0,31.0,33.0,38.0,44.0,37.0,41.0,45.0,45.0,47.0,30.0,31.0,30.0,32.0,24.0,28.0,29.0,104
0a43d3000d9,0,60.0,60.0,60.0,60.0,60.0,59.0,59.0,59.0,59.0,58.0,58.0,138.0,137.0,136.0,135.0,135.0,134.0,133.0,130.0,130.0,130.0,129.0,127.0,161.0,157.0,155.0,155.0,154.0,153.0,152.0,152.0,133.0,130.0,128.0,127.0,189.0,187.0,184.0,184.0,184.0,178.0,178.0,177.0,177.0,176.0,177.0,175.0,219.0,220.0,219.0,216.0,211.0,211.0,211.0,211.0,210.0,209.0,209.0,209.0,255.0,252.0,251.0,251.0,251.0,250.0,251.0,104
0a43d3000d9,1,152.0,155.0,158.0,158.0,158.0,160.0,160.0,161.0,161.0,162.0,162.0,82.0,83.0,85.0,94.0,95.0,94.0,97.0,98.0,102.0,101.0,100.0,99.0,61.0,62.0,66.0,67.0,66.0,65.0,65.0,65.0,64.0,64.0,66.0,69.0,14.0,14.0,17.0,28.0,29.0,30.0,33.0,33.0,35.0,36.0,40.0,46.0,8.0,9.0,13.0,19.0,21.0,22.0,22.0,24.0,26.0,27.0,28.0,39.0,5.0,9.0,12.0,19.0,20.0,21.0,22.0,104
0a43d3000d9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
