group,category,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2024_01_01,2024_02_01,2024_03_01,2024_04_01,2024_05_01,2024_06_01,2024_07_01,2024_08_01,2024_09_01,2024_10_01,2024_11_01,2024_12_01,2025_01_01,2025_02_01,2025_03_01,2025_04_01,2025_05_01,2025_06_01,job_code
0a43d3000d9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,,,101
0a43d3000d9,0,12,12,12,12,12,11,11,11,11,11,11,31,31,31,31,31,31,31,31,30,28,28,28,30,29,29,29,29,29,29,29,29,28,28,27,23,23,23,23,22,22,22,22,22,22,22,21,25,25,25,24,24,24,23,23,23,23,23,23,26,26,26,26,26,26,25,102
0a43d3000d9,1,2,2,3,3,3,4,4,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,5,5,5,,2,2,2,2,2,3,5,9,9,9,10,,,,,,,1,2,5,8,9,9,,1,1,1,2,3,4,102
0a43d3000d9,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,,,,,,,,,,,2,2,103
0a43d3000d9,0,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,13,13,12,12,22,22,22,22,22,22,22,22,22,23,23,23,26,26,25,25,24,24,24,24,23,23,23,23,23,23,24,24,24,23,23,23,23,23,23,22,28,28,27,27,27,27,27,103
0a43d3000d9,1,20,20,21,22,22,22,22,22,22,21,21,15,15,15,15,15,15,16,17,17,18,18,18,4,4,4,4,4,4,4,4,5,6,6,6,3,3,3,4,4,3,3,4,5,6,6,6,3,3,3,3,3,3,4,4,4,4,4,4,1,1,2,3,3,4,4,103
0a43d3000d9,0,4,5,5,5,6,8,8,8,7,8,9,8,8,9,9,10,9,9,8,8,9,10,10,11,14,15,18,21,23,24,25,19,20,24,25,19,22,22,22,22,22,23,24,26,26,27,29,24,27,30,31,33,38,44,37,41,45,45,47,30,31,30,32,24,28,29,104
0a43d3000d9,0,60,60,60,60,60,59,59,59,59,58,58,138,137,136,135,135,134,133,130,130,130,129,127,161,157,155,155,154,153,152,152,133,130,128,127,189,187,184,184,184,178,178,177,177,176,177,175,219,220,219,216,211,211,211,211,210,209,209,209,255,252,251,251,251,250,251,104
0a43d3000d9,1,152,155,158,158,158,160,160,161,161,162,162,82,83,85,94,95,94,97,98,102,101,100,99,61,62,66,67,66,65,65,65,64,64,66,69,14,14,17,28,29,30,33,33,35,36,40,46,8,9,13,19,21,22,22,24,26,27,28,39,5,9,12,19,20,21,22,104
0a43d3000d9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,105
